DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Apr-2026,EQ,"447.75","448.50","430.20","447.80","432.00","431.85","437.27","509.00","306.30","86,76,219","3,79,38,30,502.20","1,18,533"
22-Apr-2026,EQ,"442.05","449.90","440.60","442.55","448.45","447.80","446.78","509.00","306.30","75,80,971","3,38,70,46,863.45","95,249"
21-Apr-2026,EQ,"438.40","449.00","437.50","438.40","442.90","442.55","443.04","509.00","306.30","76,81,395","3,40,31,91,780.35","98,054"
20-Apr-2026,EQ,"440.00","441.00","431.05","439.10","435.50","438.40","436.37","509.00","306.30","72,47,939","3,16,27,84,756.45","1,14,227"
17-Apr-2026,EQ,"438.05","445.40","435.70","442.00","439.15","439.10","439.64","509.00","306.30","88,46,833","3,88,93,79,008.85","1,09,503"
16-Apr-2026,EQ,"441.00","444.55","437.60","435.20","441.15","442.00","440.92","509.00","306.30","77,84,251","3,43,22,02,975.00","92,612"
15-Apr-2026,EQ,"442.30","446.00","433.10","429.80","435.40","435.20","439.80","509.00","306.30","1,18,71,430","5,22,10,68,875.70","1,38,462"
13-Apr-2026,EQ,"430.00","442.65","423.00","444.55","430.10","429.80","433.35","509.00","306.30","1,39,39,395","6,04,06,00,609.00","1,48,014"
10-Apr-2026,EQ,"433.00","446.25","430.35","425.60","443.50","444.55","439.05","509.00","306.30","1,59,53,966","7,00,46,61,319.10","1,72,433"
09-Apr-2026,EQ,"434.05","443.00","422.10","434.05","425.00","425.60","430.36","509.00","306.30","1,52,65,854","6,56,98,79,802.90","1,75,205"
08-Apr-2026,EQ,"413.40","445.95","409.55","396.05","436.10","434.05","433.89","509.00","306.30","3,47,82,882","15,09,20,77,435.20","3,11,375"
07-Apr-2026,EQ,"389.00","398.00","384.50","391.30","396.95","396.05","391.25","509.00","306.30","89,96,274","3,51,97,68,044.15","1,06,244"
06-Apr-2026,EQ,"388.95","396.85","382.55","388.10","391.00","391.30","390.02","509.00","306.30","99,99,061","3,89,98,15,801.80","1,17,383"
02-Apr-2026,EQ,"390.00","392.65","375.80","396.05","386.90","388.10","381.66","509.00","306.30","2,10,90,138","8,04,92,49,920.20","4,69,128"
01-Apr-2026,EQ,"414.50","417.85","391.00","394.80","392.95","396.05","404.77","509.00","306.30","1,73,30,457","7,01,47,82,112.55","2,14,664"
30-Mar-2026,EQ,"410.85","416.10","388.75","427.60","394.00","394.80","396.50","509.00","306.30","2,87,62,802","11,40,43,67,854.25","3,67,123"
27-Mar-2026,EQ,"426.00","437.00","407.10","431.85","419.50","427.60","424.63","509.00","306.30","6,96,78,556","29,58,77,10,510.70","3,26,688"
25-Mar-2026,EQ,"420.00","436.25","420.00","415.70","436.25","431.85","429.22","509.00","306.30","1,06,47,115","4,56,99,59,286.10","1,48,516"
